Country,YearsWithThisDatabase,OtherDatabases,YearsWithThisTypeOfJob,JobTitle,OtherPeopleOnYourTeam,EmploymentStatus,EmploymentSector,Survey Year,PrimaryDatabase,ManageStaff,HowManyCompanies,Gender,Actual Salary,Predicted Salary
United States,5,"PostgreSQL, SQLite, Amazon RDS (any flavor)",3,Architect,1,Consulting Full time employee,Private business,2020,Microsoft SQL Server,No,2,Male,100000.0,100805.0
United States,24,"Azure SQL DB (any flavor), CosmosDB",24,DBA (General),0,Full time employee,Private business,2020,Microsoft SQL Server,No,6,Male,150000.0,119334.99999999997
United Kingdom,18,Amazon RDS (any flavor),18,DBA (Development Focus),2,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,94500.0,69436.59
Netherlands,5,"Microsoft SQL Server, PostgreSQL, Azure SQL DB",11,Developer: App Code,1,Full time employee,Private business,2019,Microsoft SQL Server,Yes,1,Male,80000.0,56693.25440000001
United States,6,"Oracle, Azure SQL DB, Amazon RDS (any flavor)",2,DBA,4,Full time employee,Private business,2017,Microsoft SQL Server,Yes,0,Not Asked,117000.0,100517.30999999998
India,12,Microsoft SQL Server,4,Architect,0,Full time employee,Private business,2017,Microsoft SQL Server,Yes,0,Not Asked,40000.0,35393.64999999997
United States,17,"Oracle, MySQL/MariaDB",3,Manager,2,Full time employee,Private business,2017,Microsoft SQL Server,Yes,0,Not Asked,153000.0,136859.99999999997
United States,17,"MySQL/MariaDB, Microsoft Access, Azure SQL DB",2,Developer: T-SQL,1,Full time employee,Private business,2018,Microsoft SQL Server,Yes,0,Male,125000.0,112474.99999999999
United States,10,"Oracle, PostgreSQL",5,DBA (General),1,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Female,103000.0,105421.0
United States,10,"DB2, Microsoft Access",10,Developer: T-SQL,1,Full time employee,Private business,2017,Microsoft SQL Server,Yes,0,Not Asked,92000.0,120571.46999999999
United Kingdom,14,"MySQL/MariaDB, Azure SQL DB, Amazon RDS (any flavor)",2,DBA (Production Focus),3,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,74560.0,75052.5
United States,9,Microsoft SQL Server,1,DBA (General),1,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,80000.0,126288.99999999997
United States,10,"Microsoft SQL Server, MySQL/MariaDB, SQLite, Azure SQL DB, Amazon RDS (any flavor)",5,Developer: App Code,6,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,95000.0,99914.91
United States,10,"Azure SQL DB, Amazon RDS (any flavor)",9,DBA,6,Consulting Full time employee,Private business,2017,Microsoft SQL Server,Yes,0,Not Asked,109000.0,122367.1636
United States,5,Microsoft Access,40,Developer: App Code,0,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,54000.0,91013.5
United States,8,"Microsoft Access, Amazon RDS (any flavor)",8,DBA (General),2,Full time employee,Private business,2019,Microsoft SQL Server,Yes,1,Male,101000.0,105747.5
United States,19,"Oracle, MySQL/MariaDB, Microsoft Access",3,Developer: T-SQL,2,Full time employee,Non-profit,2018,Microsoft SQL Server,No,0,Male,87000.0,103948.25
United Kingdom,16,"Microsoft SQL Server, Oracle, MySQL/MariaDB, Microsoft Access, Azure SQL DB",4,DBA,2,Full time employee,Federal government,2017,Microsoft SQL Server,Yes,0,Not Asked,52000.0,70615.48
United States,9,Azure SQL DB,4,DBA,0,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,101000.0,88973.86
United States,8,"PostgreSQL, Cassandra, Azure SQL DB, Amazon RDS (any flavor)",3,Architect,6,Consulting Full time employee,Private business,2019,Microsoft SQL Server,Yes,2,Male,125000.0,126186.79999999999
United States,5,"Microsoft SQL Server, Microsoft Access",4,DBA,1,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,50000.0,82883.75
United States,15,Amazon RDS (any flavor),7,DBA (General),4,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,115000.0,118236.44
United States,12,"MySQL/MariaDB, Azure SQL DB",22,Developer: T-SQL,1,Full time employee,Non-profit,2018,Microsoft SQL Server,No,0,Male,75000.0,102634.73
United States,10,"Microsoft SQL Server, Redis, InfluxDB",5,Developer: App Code,6,Full time employee,Private business,2017,Microsoft SQL Server,Yes,0,Not Asked,120000.0,116767.00000000003
United States,10,"Oracle, MySQL/MariaDB, Azure SQL DB",4,Developer: BI,0,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,87000.0,107576.35
Canada,10,"MySQL/MariaDB, Amazon RDS (any flavor)",2,Architect,0,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,99500.0,79319.4392
United States,4,"Microsoft SQL Server, MySQL/MariaDB, PostgreSQL, Microsoft Access, SQLite, Azure SQL DB (any flavor)",3,Developer: T-SQL,2,Full time employee,Private business,2021,Microsoft SQL Server,No,2,Male,100000.0,85037.19
United States,10,Microsoft Access,12,DBA,0,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,110000.0,101136.14
Colombia,5,"Oracle, MySQL/MariaDB",5,DBA (Development Focus),1,Consulting Full time employee,Private business,2018,Microsoft SQL Server,Yes,0,Male,10095.0,36220.428300000014
United States,1,"Microsoft SQL Server, Cosmos",15,Developer: App Code,6,Full time employee,Private business,2019,Azure SQL DB,No,2,Male,95000.0,119448.0
United States,10,"Microsoft SQL Server, Oracle, MySQL/MariaDB, Microsoft Access",7,DBA (General),3,Full time employee,"Education (K-12, college, university)",2021,Microsoft SQL Server,No,1,Male,63800.0,87109.48
United States,20,"Azure SQL DB (any flavor), Amazon RDS (any flavor)",18,DBA (General),4,Consulting Full time employee,Non-profit,2020,Microsoft SQL Server,Yes,1,Male,142500.0,126786.6127
Canada,20,"Microsoft SQL Server, PostgreSQL, MongoDB, Amazon RDS (any flavor)",20,DBA (General),1,Full time employee,Private business,2020,Microsoft SQL Server,No,2,Male,71000.0,78700.05554
United States,11,"DB2, Microsoft Access, SQLite, SAP HANA",6,DBA (Development Focus),0,Full time employee,Private business,2020,Microsoft SQL Server,No,2,Male,92000.0,97421.17
Italy,18,"Oracle, Microsoft Access, Azure SQL DB",5,DBA,2,Independent consultant,Private business,2017,Microsoft SQL Server,Yes,0,Not Asked,80000.0,97040.27
United States,10,"MySQL/MariaDB, Azure SQL DB",10,DBA (General),0,Full time employee,Private business,2019,Microsoft SQL Server,No,0,Male,86000.0,105169.00000000001
Australia,5,"Microsoft SQL Server, MySQL/MariaDB",5,Analyst,2,Full time employee,Private business,2019,Oracle,Yes,2,Male,75000.0,76148.40999999999
United States,15,"Oracle, MySQL/MariaDB, Microsoft Access",15,DBA (General),0,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,118556.0,102053.5
United States,15,"MySQL/MariaDB, PostgreSQL, Microsoft Access",20,Developer: App Code,0,Independent consultant,Private business,2017,Microsoft SQL Server,No,0,Not Asked,92000.0,148010.0
United States,14,"Oracle, MySQL/MariaDB, PostgreSQL, MongoDB, SQLite, Teradata, Amazon RDS (any flavor)",1,Manager,1,Full time employee,Private business,2019,Microsoft SQL Server,Yes,1,Male,150000.0,125979.80999999997
United Kingdom,6,"Microsoft SQL Server, PostgreSQL, Microsoft Access, SQL Anywhere",6,Analyst,1,Full time employee,Private business,2020,Microsoft SQL Server,No,1,Male,60000.0,54398.7865
United States,15,"Microsoft SQL Server, Oracle, MySQL/MariaDB, PostgreSQL, DB2, Azure SQL DB",2,DBA,0,Full time employee,Private business,2017,Microsoft SQL Server,Yes,0,Not Asked,169000.0,122320.32999999999
United States,15,"Microsoft SQL Server, Microsoft Access, foxpro",15,Developer: T-SQL,5,Full time employee,Private business,2021,Microsoft SQL Server,No,2,Male,70000.0,137369.80000000002
Canada,13,Microsoft SQL Server,8,DBA,1,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,56000.0,70878.85800000001
United States,4,"Oracle, DB2, Azure SQL DB (any flavor)",4,Developer: BI,3,Consulting Full time employee,Private business,2020,Microsoft SQL Server,No,1,Male,72000.0,100422.48
United States,20,"Microsoft SQL Server, Azure SQL DB (any flavor), Azure SQL DW",10,Architect,1,Full time employee,Private business,2020,Microsoft SQL Server,No,2,Male,180000.0,151608.49999999994
United States,15,"MySQL/MariaDB, Azure SQL DB",7,DBA,1,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,120000.0,103577.0
United States,23,"Microsoft SQL Server, DB2, Azure SQL DB (any flavor), Amazon RDS (any flavor)",10,DBA (Production Focus),3,Full time employee,Private business,2020,Microsoft SQL Server,Yes,2,Male,170000.0,131897.9472
United States,12,"Oracle, Microsoft Access",12,DBA (General),1,Full time employee,Local government,2018,Microsoft SQL Server,No,0,Female,85000.0,106640.61
India,10,"Oracle, MySQL/MariaDB",2,DBA,5,Full time employee,Private business,2017,Microsoft SQL Server,Yes,0,Not Asked,18000.0,27098.68999999993
United Kingdom,2,"Microsoft SQL Server, MySQL/MariaDB",2,DBA (General),1,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,34822.0,37146.74200000001
Macedonia,14,"MongoDB, Microsoft Access, SQLite",14,DBA (Development Focus),4,Full time employee,Private business,2021,Microsoft SQL Server,No,0,Male,30000.0,61887.96000000001
Canada,12,"MySQL/MariaDB, Microsoft Access, SQLite",4,DBA (General),0,Full time employee,Non-profit,2018,Microsoft SQL Server,No,0,Male,52823.00000000001,70439.24470000001
United States,15,"Microsoft SQL Server, Azure SQL DB",2,Developer: App Code,1,Full time employee,Private business,2017,Microsoft SQL Server,Yes,0,Not Asked,175000.0,116774.70999999999
United States,5,"Microsoft SQL Server, Oracle",3,Analyst,5,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,68000.0,89458.65
United Kingdom,18,"Oracle, MySQL/MariaDB, PostgreSQL, MongoDB, DB2, Microsoft Access, SQLite, Azure SQL DB",18,DBA,3,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,79300.0,84106.18999999999
United States,6,Microsoft SQL Server,2,Architect,2,Full time employee,Private business,2021,Microsoft SQL Server,No,1,Female,123000.0,95192.54000000001
Israel,14,"Microsoft SQL Server, Oracle, PostgreSQL, Microsoft Access, Splunk",14,DBA (Production Focus),1,Full time employee,Private business,2021,Microsoft SQL Server,No,0,Male,80000.0,84159.0
United States,4,"Microsoft SQL Server, Azure SQL DB (any flavor), CosmosDB",2,Engineer,1,Consulting Full time employee,Private business,2020,Other,No,1,Male,135500.0,104510.99
United States,8,Microsoft Access,5,DBA (General),0,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,90000.0,96229.52
Luxembourg,15,"Oracle, Azure SQL DB, Amazon RDS (any flavor)",10,DBA,2,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,80000.0,44996.439999999995
United States,20,"MySQL/MariaDB, PostgreSQL, Microsoft Access",8,Developer: T-SQL,0,Full time employee,Private business,2020,Microsoft SQL Server,No,0,Male,85000.0,121173.87420000002
United States,5,"MongoDB, Amazon RDS (any flavor)",10,Analyst,6,Consulting Full time employee,Private business,2021,PostgreSQL,Yes,2,Male,170000.0,122172.15999999999
Iceland,10,"Microsoft SQL Server, Oracle, MySQL/MariaDB, PostgreSQL, DB2, Azure SQL DB, Amazon RDS (any flavor)",25,Developer: BI,4,Consulting Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,100000.0,39044.72
India,5,"Microsoft SQL Server, MongoDB, Azure SQL DB (any flavor)",5,DBA (Production Focus),2,Full time employee,Private business,2020,Microsoft SQL Server,No,2,Male,20000.0,13447.742000000013
United States,20,"Oracle, MySQL/MariaDB, Microsoft Access",20,Developer: T-SQL,0,Full time employee,Private business,2020,Microsoft SQL Server,No,0,Male,165000.0,117798.60000000002
South Africa,17,"Microsoft SQL Server, MySQL/MariaDB, SQLite",8,Developer: T-SQL,0,Full time employee,Private business,2021,Microsoft SQL Server,No,1,Male,56000.0,59599.32000000001
United States,7,"MySQL/MariaDB, Cassandra",4,Engineer,3,Full time employee,Private business,2018,Microsoft SQL Server,Yes,0,Male,127500.0,111515.7
Mexico,9,Azure SQL DB,1,Developer: T-SQL,1,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,50000.0,53004.279999999984
New Zealand,8,MySQL/MariaDB,3,DBA,1,Full time employee,Local government,2017,Microsoft SQL Server,No,0,Not Asked,63000.0,58528.189999999995
United States,15,"Microsoft SQL Server, Microsoft Access, Amazon RDS (any flavor)",22,DBA (Production Focus),4,Full time employee,Private business,2019,Microsoft SQL Server,No,0,Male,143000.0,118200.0
United States,3,"MySQL/MariaDB, PostgreSQL",8,Developer: App Code,0,Full time employee,Private business,2019,Microsoft SQL Server,No,1,Male,90000.0,90692.79
Denmark,15,"Oracle, SAP",15,Developer: BI,6,Consulting Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,80000.0,62839.830000000016
United States,19,"MySQL/MariaDB, SQLite, Amazon RDS (any flavor)",5,DBA (Production Focus),0,Full time employee,Private business,2020,Microsoft SQL Server,No,2,Male,125000.0,127510.87420000002
Canada,13,"Microsoft SQL Server, MySQL/MariaDB, PostgreSQL",13,DBA (General),0,Full time employee,"Education (K-12, college, university)",2020,Microsoft SQL Server,No,6,Female,68600.0,78929.4292
United States,8,Oracle,6,DBA,2,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,87890.0,104700.92000000001
United States,12,Microsoft SQL Server,12,Analyst,0,Full time employee,Private business,2020,Microsoft SQL Server,No,1,Male,70000.0,98374.12
United Kingdom,4,Oracle,20,DBA,0,Independent consultant,Private business,2017,Microsoft SQL Server,No,0,Not Asked,100000.0,60287.211999999985
United States,14,"Microsoft SQL Server, MySQL/MariaDB, Microsoft Access, SQLite, Azure SQL DB (any flavor)",14,Developer: App Code,1,Full time employee,"Education (K-12, college, university)",2021,Microsoft SQL Server,No,6,Male,82500.0,97825.4
United States,15,"Oracle, PostgreSQL, Azure SQL DB (any flavor)",20,Architect,0,Full time employee,Non-profit,2021,Microsoft SQL Server,No,0,Male,140695.0,124365.00000000003
United States,16,"Microsoft SQL Server, Oracle, MySQL/MariaDB, SQLite, Azure SQL DB",3,Manager,0,Full time employee,Private business,2019,Microsoft SQL Server,Yes,2,Male,150000.0,142701.48999999996
United States,13,"Microsoft SQL Server, APS",5,Engineer,0,Full time employee,Private business,2021,Microsoft SQL Server,No,2,Male,125000.0,118964.11
United Kingdom,8,SAP,3,Developer: T-SQL,6,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,103000.0,61368.95999999999
United States,20,"Microsoft SQL Server, Oracle, MySQL/MariaDB, DB2, Microsoft Access, SAP",10,DBA,0,Full time employee,Private business,2017,Microsoft SQL Server,Yes,0,Not Asked,100000.0,125527.37999999999
United States,6,"Microsoft SQL Server, MySQL/MariaDB, MongoDB, SQLite, Azure SQL DB (any flavor), Amazon RDS (any flavor)",4,Architect,0,Full time employee,Local government,2021,Microsoft SQL Server,No,1,Male,101000.0,96265.39
United States,9,"Microsoft Access, Unisys DMS II",7,Developer: App Code,0,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,103000.0,95100.79000000001
South Africa,10,MySQL/MariaDB,6,Manager,6,Full time employee,Private business,2018,Microsoft SQL Server,Yes,0,Male,62400.0,60015.74000000002
United States,5,Microsoft SQL Server,5,Analyst,4,Full time employee,Private business,2019,Microsoft SQL Server,No,0,Male,100000.0,77904.74
United Kingdom,22,"Microsoft SQL Server, MySQL/MariaDB",10,Architect,0,Full time employee,Private business,2020,Microsoft SQL Server,No,0,Male,152000.0,90468.93
Canada,14,"Microsoft SQL Server, Azure SQL DB (any flavor)",3,Architect,1,Full time employee,State/province government,2021,Microsoft SQL Server,No,1,Male,64863.84,94541.368
United States,25,"Microsoft SQL Server, Oracle, Microsoft Access, Azure SQL DB (any flavor)",15,DBA (Development Focus),1,Full time employee,Private business,2020,Microsoft SQL Server,No,0,Male,118000.0,127208.1672
United States,8,"Microsoft SQL Server, Azure SQL DB, Amazon RDS (any flavor)",3,Manager,0,Full time employee,Private business,2017,Microsoft SQL Server,Yes,0,Not Asked,135000.0,111889.0
United States,15,"Microsoft Access, SAP",9,DBA,1,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,97000.0,107406.94
Russia,5,Microsoft SQL Server,5,Developer: T-SQL,4,Full time employee,Private business,2020,Oracle,No,2,Male,60000.0,29681.400000000016
United States,21,"Microsoft SQL Server, Oracle, MySQL/MariaDB, DB2, Microsoft Access",21,Architect,2,Full time employee,Private business,2017,Microsoft SQL Server,Yes,0,Not Asked,145000.0,140634.23000000004
United Kingdom,8,"Microsoft SQL Server, Azure SQL DB",2,Developer: BI,1,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,49000.0,56264.44
Canada,25,"Microsoft SQL Server, Microsoft Access",25,DBA (Development Focus),1,Full time employee,Private business,2018,Microsoft SQL Server,Yes,0,Male,109000.0,76026.12554000001
United States,17,"Microsoft SQL Server, Azure SQL DB",2,DBA (General),0,Full time employee,Non-profit,2018,Microsoft SQL Server,No,0,Male,124000.0,105514.0
United States,20,"Microsoft SQL Server, Elasticsearch, Amazon RDS (any flavor)",2,DBA,6,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,148000.0,119572.63999999997
United States,15,Azure SQL DB,15,Manager,2,Full time employee,Private business,2017,Microsoft SQL Server,Yes,0,Not Asked,105000.0,120155.66000000002
Hong Kong,10,Amazon RDS (any flavor),3,DBA (General),1,Full time employee,Private business,2019,Microsoft SQL Server,Yes,0,Male,107000.0,35815.84000000003
United States,1,"Microsoft SQL Server, Oracle, Elasticsearch, Amazon RDS (any flavor)",15,DBA (General),1,Full time employee,Private business,2019,PostgreSQL,No,6,Male,150000.0,125368.0
United States,8,Azure SQL DB (any flavor),8,DBA (General),3,Full time employee,Private business,2021,Microsoft SQL Server,No,2,Male,77309.0,82389.20000000001
Israel,15,"MySQL/MariaDB, SAP",10,DBA,1,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,78000.0,68900.01000000001
United States,2,"Oracle, Amazon RDS (any flavor)",2,Analyst,1,Full time employee,Private business,2020,Oracle,No,1,Male,72000.0,66173.59999999998
United Kingdom,5,"Microsoft SQL Server, Microsoft Access",1,DBA,0,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,48119.0,54047.61999999998
United States,3,"Oracle, Microsoft Access",6,Engineer,6,Full time employee,Private business,2021,Microsoft SQL Server,No,1,Male,108000.0,97659.44
United States,1,"MySQL/MariaDB, MongoDB, SQLite",1,Developer: BI,3,Full time employee,Private business,2020,Other,No,1,Male,75000.0,78310.83
United States,6,"Oracle, MySQL/MariaDB, Microsoft Access",21,DBA (General),0,Full time employee,Local government,2019,Microsoft SQL Server,No,2,Male,93500.0,96240.28
United States,14,"MySQL/MariaDB, DB2",1,Architect,0,Independent consultant,Private business,2017,Microsoft SQL Server,No,0,Not Asked,124800.0,145120.10000000003
United States,8,Oracle,5,Developer: BI,1,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Female,104000.0,95050.74
United Kingdom,2,"MySQL/MariaDB, PostgreSQL, Microsoft Access",2,Analyst,1,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,29000.0,38393.19639999998
United States,15,"Microsoft SQL Server, MySQL/MariaDB, PostgreSQL, Microsoft Access, Azure SQL DB (any flavor)",15,DBA (Production Focus),1,Full time employee,Private business,2021,Microsoft SQL Server,No,0,Male,130000.0,119560.60999999999
United States,15,SAP,15,Developer: T-SQL,6,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,125000.0,121225.72999999998
United States,3,"MySQL/MariaDB, Microsoft Access",1,Analyst,2,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,45000.0,77279.4
Australia,14,SQLite,14,Other,3,Full time employee,Private business,2020,Microsoft SQL Server,No,1,Male,62000.0,82433.9976
United States,2,"Microsoft SQL Server, Microsoft Access",7,Engineer,1,Full time employee,Private business,2021,DB2,No,2,Male,69000.0,114629.0
Germany,6,"Microsoft SQL Server, Oracle, MySQL/MariaDB, Microsoft Access, Azure SQL DB (any flavor), Snowflake",1,Other,6,Consulting Full time employee,Private business,2021,Microsoft SQL Server,No,1,Male,75000.0,64809.964900000006
United States,6,MySQL/MariaDB,6,DBA (Production Focus),4,Full time employee,Non-profit,2018,Microsoft SQL Server,No,0,Prefer not to say,80000.0,94335.19
United States,26,"Microsoft SQL Server, Oracle, MySQL/MariaDB, PostgreSQL, Azure SQL DB (any flavor), Amazon RDS (any flavor)",15,DBA (General),3,Independent consultant,Private business,2020,Microsoft SQL Server,No,6,Male,145000.0,131342.10719999997
United States,18,MySQL/MariaDB,18,Architect,0,Full time employee,Private business,2019,Microsoft SQL Server,No,1,Male,153027.0,144299.0
United States,15,Azure SQL DB,15,DBA (Development Focus),0,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,123000.0,116837.58
United States,7,"Microsoft SQL Server, Oracle, MySQL/MariaDB, PostgreSQL, Cassandra, SQLite, Azure SQL DB",1,DBA,3,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,100000.0,104081.0
United States,12,"Oracle, MongoDB",2,Architect,3,Consulting Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,128000.0,116453.73
United States,4,"Azure SQL DB, Amazon RDS (any flavor)",4,DBA (General),3,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Prefer not to say,60000.0,83292.54
United States,16,"Microsoft SQL Server, SAP",2,Developer: T-SQL,3,Independent consultant,Private business,2019,Microsoft SQL Server,No,2,Male,96000.0,129062.20000000001
United States,12,"Microsoft SQL Server, Oracle, MySQL/MariaDB, Microsoft Access, SQLite",3,Developer: App Code,4,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,84000.0,102768.88
United States,1,Microsoft SQL Server,1,DBA (General),2,Full time employee,Private business,2021,Microsoft SQL Server,No,1,Male,54000.0,63939.59999999998
Australia,10,"Microsoft SQL Server, MySQL/MariaDB, PostgreSQL, Microsoft Access",10,DBA (General),1,Full time employee,Non-profit,2019,Microsoft SQL Server,No,1,Male,79000.0,84259.14
United Kingdom,19,"Microsoft Access, Azure SQL DB",19,Analyst,1,Full time employee,Private business,2019,Microsoft SQL Server,No,6,Female,54772.0,78753.94216
South Africa,14,Microsoft SQL Server,7,Developer: T-SQL,1,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,60000.0,51327.60000000002
Romania,2,"Microsoft SQL Server, Oracle",2,DBA (Production Focus),2,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,21500.0,32651.159999999967
India,3,"Microsoft SQL Server, MySQL/MariaDB, PostgreSQL, MongoDB, Cassandra, Azure SQL DB, Amazon RDS (any flavor)",3,DBA (Production Focus),3,Full time employee,Private business,2018,Microsoft SQL Server,Yes,0,Male,5213.999999999985,6960.605999999971
Canada,3,"Microsoft SQL Server, MySQL/MariaDB, PostgreSQL, SQLite",3,Architect,2,Full time employee,Private business,2020,Microsoft SQL Server,No,2,Male,51000.0,58955.35359999999
United States,15,"Oracle, MySQL/MariaDB, DB2, Microsoft Access, SAP",15,DBA,0,Full time employee,Federal government,2017,Microsoft SQL Server,No,0,Not Asked,95000.0,107638.51000000001
United States,6,"DB2, Amazon RDS (any flavor)",6,Engineer,4,Full time employee,Private business,2020,Microsoft SQL Server,No,2,Male,92000.0,99752.59999999999
United Kingdom,3,"MySQL/MariaDB, PostgreSQL, DB2",1,DBA (Production Focus),2,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Female,61386.0,41278.86999999997
United States,15,"MySQL/MariaDB, Elasticsearch",1,DBA (General),0,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,115000.0,122721.99999999997
United States,2,DB2,2,Analyst,0,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,40000.0,72367.65
United States,2,"Microsoft SQL Server, MySQL/MariaDB, PostgreSQL, Microsoft Access",2,DBA,0,Full time employee,State/province government,2017,Microsoft SQL Server,No,0,Not Asked,63000.0,68258.0
United States,3,"Microsoft Access, Azure SQL DB, Amazon RDS (any flavor)",3,DBA (Production Focus),2,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,68000.0,79402.93
Romania,6,"Microsoft SQL Server, MySQL/MariaDB, Microsoft Access, Teradata",6,Developer: T-SQL,6,Full time employee,Private business,2019,Microsoft SQL Server,No,2,Male,30000.0,28212.299999999996
United States,10,Microsoft Access,2,DBA (General),1,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,67000.0,100072.32
United States,5,Microsoft SQL Server,5,Developer: T-SQL,0,Full time employee,Private business,2019,Microsoft SQL Server,No,0,Male,105000.0,85435.33
United States,7,Microsoft SQL Server,7,DBA (Production Focus),2,Full time employee,State/province government,2021,Microsoft SQL Server,No,1,Female,100000.0,90283.5
United Kingdom,12,"Azure SQL DB, Amazon RDS (any flavor)",1,DBA,5,Independent consultant,Private business,2017,Microsoft SQL Server,No,0,Not Asked,98517.0,116589.85999999999
