Country,YearsWithThisDatabase,OtherDatabases,YearsWithThisTypeOfJob,JobTitle,OtherPeopleOnYourTeam,EmploymentStatus,EmploymentSector,Survey Year,PrimaryDatabase,ManageStaff,HowManyCompanies,Gender,Actual Salary,Predicted Salary
United Kingdom,16,"Microsoft SQL Server, Oracle, MySQL/MariaDB, Microsoft Access, Azure SQL DB",4,DBA,2,Full time employee,Federal government,2017,Microsoft SQL Server,Yes,0,Not Asked,52000.0,69899.63
United States,9,Azure SQL DB,4,DBA,0,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,101000.0,97889.55
United States,8,"PostgreSQL, Cassandra, Azure SQL DB, Amazon RDS (any flavor)",3,Architect,6,Consulting Full time employee,Private business,2019,Microsoft SQL Server,Yes,2,Male,125000.0,135238.3
United States,5,"Microsoft SQL Server, Microsoft Access",4,DBA,1,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,50000.0,85011.75
United States,15,Amazon RDS (any flavor),7,DBA (General),4,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,115000.0,119323.85
United States,12,"MySQL/MariaDB, Azure SQL DB",22,Developer: T-SQL,1,Full time employee,Non-profit,2018,Microsoft SQL Server,No,0,Male,75000.0,102835.96
United States,10,"Microsoft SQL Server, Redis, InfluxDB",5,Developer: App Code,6,Full time employee,Private business,2017,Microsoft SQL Server,Yes,0,Not Asked,120000.0,119488.984
United States,10,"Oracle, MySQL/MariaDB, Azure SQL DB",4,Developer: BI,0,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,87000.0,99697.56
Canada,10,"MySQL/MariaDB, Amazon RDS (any flavor)",2,Architect,0,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,99500.0,68829.305
United States,4,"Microsoft SQL Server, MySQL/MariaDB, PostgreSQL, Microsoft Access, SQLite, Azure SQL DB (any flavor)",3,Developer: T-SQL,2,Full time employee,Private business,2021,Microsoft SQL Server,No,2,Male,100000.0,80322.266
United States,10,Microsoft Access,12,DBA,0,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,110000.0,95632.766
Colombia,5,"Oracle, MySQL/MariaDB",5,DBA (Development Focus),1,Consulting Full time employee,Private business,2018,Microsoft SQL Server,Yes,0,Male,10095.0,32924.164
United States,1,"Microsoft SQL Server, Cosmos",15,Developer: App Code,6,Full time employee,Private business,2019,Azure SQL DB,No,2,Male,95000.0,135466.8
United States,10,"Microsoft SQL Server, Oracle, MySQL/MariaDB, Microsoft Access",7,DBA (General),3,Full time employee,"Education (K-12, college, university)",2021,Microsoft SQL Server,No,1,Male,63800.0,95587.37
United States,20,"Azure SQL DB (any flavor), Amazon RDS (any flavor)",18,DBA (General),4,Consulting Full time employee,Non-profit,2020,Microsoft SQL Server,Yes,1,Male,142500.0,116172.555
Canada,20,"Microsoft SQL Server, PostgreSQL, MongoDB, Amazon RDS (any flavor)",20,DBA (General),1,Full time employee,Private business,2020,Microsoft SQL Server,No,2,Male,71000.0,84768.81
United States,11,"DB2, Microsoft Access, SQLite, SAP HANA",6,DBA (Development Focus),0,Full time employee,Private business,2020,Microsoft SQL Server,No,2,Male,92000.0,107472.91
Italy,18,"Oracle, Microsoft Access, Azure SQL DB",5,DBA,2,Independent consultant,Private business,2017,Microsoft SQL Server,Yes,0,Not Asked,80000.0,83464.33
United States,10,"MySQL/MariaDB, Azure SQL DB",10,DBA (General),0,Full time employee,Private business,2019,Microsoft SQL Server,No,0,Male,86000.0,104255.91
Australia,5,"Microsoft SQL Server, MySQL/MariaDB",5,Analyst,2,Full time employee,Private business,2019,Oracle,Yes,2,Male,75000.0,77973.38
United States,15,"Oracle, MySQL/MariaDB, Microsoft Access",15,DBA (General),0,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,118556.0,106365.586
United States,15,"MySQL/MariaDB, PostgreSQL, Microsoft Access",20,Developer: App Code,0,Independent consultant,Private business,2017,Microsoft SQL Server,No,0,Not Asked,92000.0,142500.3
United States,14,"Oracle, MySQL/MariaDB, PostgreSQL, MongoDB, SQLite, Teradata, Amazon RDS (any flavor)",1,Manager,1,Full time employee,Private business,2019,Microsoft SQL Server,Yes,1,Male,150000.0,121252.63
United Kingdom,6,"Microsoft SQL Server, PostgreSQL, Microsoft Access, SQL Anywhere",6,Analyst,1,Full time employee,Private business,2020,Microsoft SQL Server,No,1,Male,60000.0,55530.184
United States,15,"Microsoft SQL Server, Oracle, MySQL/MariaDB, PostgreSQL, DB2, Azure SQL DB",2,DBA,0,Full time employee,Private business,2017,Microsoft SQL Server,Yes,0,Not Asked,169000.0,117584.195
United States,15,"Microsoft SQL Server, Microsoft Access, foxpro",15,Developer: T-SQL,5,Full time employee,Private business,2021,Microsoft SQL Server,No,2,Male,70000.0,115125.45
Canada,13,Microsoft SQL Server,8,DBA,1,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,56000.0,81186.64
United States,4,"Oracle, DB2, Azure SQL DB (any flavor)",4,Developer: BI,3,Consulting Full time employee,Private business,2020,Microsoft SQL Server,No,1,Male,72000.0,79765.53
United States,20,"Microsoft SQL Server, Azure SQL DB (any flavor), Azure SQL DW",10,Architect,1,Full time employee,Private business,2020,Microsoft SQL Server,No,2,Male,180000.0,152764.72
United States,15,"MySQL/MariaDB, Azure SQL DB",7,DBA,1,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,120000.0,107000.83
United States,23,"Microsoft SQL Server, DB2, Azure SQL DB (any flavor), Amazon RDS (any flavor)",10,DBA (Production Focus),3,Full time employee,Private business,2020,Microsoft SQL Server,Yes,2,Male,170000.0,122531.234
United States,12,"Oracle, Microsoft Access",12,DBA (General),1,Full time employee,Local government,2018,Microsoft SQL Server,No,0,Female,85000.0,94479.56
India,10,"Oracle, MySQL/MariaDB",2,DBA,5,Full time employee,Private business,2017,Microsoft SQL Server,Yes,0,Not Asked,18000.0,28564.207
United Kingdom,2,"Microsoft SQL Server, MySQL/MariaDB",2,DBA (General),1,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,34822.0,48275.723
Macedonia,14,"MongoDB, Microsoft Access, SQLite",14,DBA (Development Focus),4,Full time employee,Private business,2021,Microsoft SQL Server,No,0,Male,30000.0,59691.992
Canada,12,"MySQL/MariaDB, Microsoft Access, SQLite",4,DBA (General),0,Full time employee,Non-profit,2018,Microsoft SQL Server,No,0,Male,52823.00000000001,64935.426
United States,15,"Microsoft SQL Server, Azure SQL DB",2,Developer: App Code,1,Full time employee,Private business,2017,Microsoft SQL Server,Yes,0,Not Asked,175000.0,110824.51
United States,5,"Microsoft SQL Server, Oracle",3,Analyst,5,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,68000.0,80929.625
United Kingdom,18,"Oracle, MySQL/MariaDB, PostgreSQL, MongoDB, DB2, Microsoft Access, SQLite, Azure SQL DB",18,DBA,3,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,79300.0,64063.387
United States,6,Microsoft SQL Server,2,Architect,2,Full time employee,Private business,2021,Microsoft SQL Server,No,1,Female,123000.0,100542.234
Israel,14,"Microsoft SQL Server, Oracle, PostgreSQL, Microsoft Access, Splunk",14,DBA (Production Focus),1,Full time employee,Private business,2021,Microsoft SQL Server,No,0,Male,80000.0,94007.01
United States,4,"Microsoft SQL Server, Azure SQL DB (any flavor), CosmosDB",2,Engineer,1,Consulting Full time employee,Private business,2020,Other,No,1,Male,135500.0,94365.36
United States,8,Microsoft Access,5,DBA (General),0,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,90000.0,93097.01
Luxembourg,15,"Oracle, Azure SQL DB, Amazon RDS (any flavor)",10,DBA,2,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,80000.0,77121.84
United States,20,"MySQL/MariaDB, PostgreSQL, Microsoft Access",8,Developer: T-SQL,0,Full time employee,Private business,2020,Microsoft SQL Server,No,0,Male,85000.0,111426.24
United States,5,"MongoDB, Amazon RDS (any flavor)",10,Analyst,6,Consulting Full time employee,Private business,2021,PostgreSQL,Yes,2,Male,170000.0,138705.84
Iceland,10,"Microsoft SQL Server, Oracle, MySQL/MariaDB, PostgreSQL, DB2, Azure SQL DB, Amazon RDS (any flavor)",25,Developer: BI,4,Consulting Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,100000.0,85034.73
India,5,"Microsoft SQL Server, MongoDB, Azure SQL DB (any flavor)",5,DBA (Production Focus),2,Full time employee,Private business,2020,Microsoft SQL Server,No,2,Male,20000.0,12829.148
United States,20,"Oracle, MySQL/MariaDB, Microsoft Access",20,Developer: T-SQL,0,Full time employee,Private business,2020,Microsoft SQL Server,No,0,Male,165000.0,112836.36
South Africa,17,"Microsoft SQL Server, MySQL/MariaDB, SQLite",8,Developer: T-SQL,0,Full time employee,Private business,2021,Microsoft SQL Server,No,1,Male,56000.0,41363.98
United States,7,"MySQL/MariaDB, Cassandra",4,Engineer,3,Full time employee,Private business,2018,Microsoft SQL Server,Yes,0,Male,127500.0,118845.914
Mexico,9,Azure SQL DB,1,Developer: T-SQL,1,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,50000.0,38242.496
New Zealand,8,MySQL/MariaDB,3,DBA,1,Full time employee,Local government,2017,Microsoft SQL Server,No,0,Not Asked,63000.0,53533.008
United States,15,"Microsoft SQL Server, Microsoft Access, Amazon RDS (any flavor)",22,DBA (Production Focus),4,Full time employee,Private business,2019,Microsoft SQL Server,No,0,Male,143000.0,120304.66
United States,3,"MySQL/MariaDB, PostgreSQL",8,Developer: App Code,0,Full time employee,Private business,2019,Microsoft SQL Server,No,1,Male,90000.0,92316.47
Denmark,15,"Oracle, SAP",15,Developer: BI,6,Consulting Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,80000.0,71674.7
United States,19,"MySQL/MariaDB, SQLite, Amazon RDS (any flavor)",5,DBA (Production Focus),0,Full time employee,Private business,2020,Microsoft SQL Server,No,2,Male,125000.0,132763.6
Canada,13,"Microsoft SQL Server, MySQL/MariaDB, PostgreSQL",13,DBA (General),0,Full time employee,"Education (K-12, college, university)",2020,Microsoft SQL Server,No,6,Female,68600.0,92192.89
United States,8,Oracle,6,DBA,2,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,87890.0,101108.586
United States,12,Microsoft SQL Server,12,Analyst,0,Full time employee,Private business,2020,Microsoft SQL Server,No,1,Male,70000.0,108589.125
United Kingdom,4,Oracle,20,DBA,0,Independent consultant,Private business,2017,Microsoft SQL Server,No,0,Not Asked,100000.0,76491.984
United States,14,"Microsoft SQL Server, MySQL/MariaDB, Microsoft Access, SQLite, Azure SQL DB (any flavor)",14,Developer: App Code,1,Full time employee,"Education (K-12, college, university)",2021,Microsoft SQL Server,No,6,Male,82500.0,113618.61
United States,15,"Oracle, PostgreSQL, Azure SQL DB (any flavor)",20,Architect,0,Full time employee,Non-profit,2021,Microsoft SQL Server,No,0,Male,140695.0,137525.95
United States,16,"Microsoft SQL Server, Oracle, MySQL/MariaDB, SQLite, Azure SQL DB",3,Manager,0,Full time employee,Private business,2019,Microsoft SQL Server,Yes,2,Male,150000.0,134357.19
United States,13,"Microsoft SQL Server, APS",5,Engineer,0,Full time employee,Private business,2021,Microsoft SQL Server,No,2,Male,125000.0,122456.9
United Kingdom,8,SAP,3,Developer: T-SQL,6,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,103000.0,55509.523
United States,20,"Microsoft SQL Server, Oracle, MySQL/MariaDB, DB2, Microsoft Access, SAP",10,DBA,0,Full time employee,Private business,2017,Microsoft SQL Server,Yes,0,Not Asked,100000.0,116309.11
United States,6,"Microsoft SQL Server, MySQL/MariaDB, MongoDB, SQLite, Azure SQL DB (any flavor), Amazon RDS (any flavor)",4,Architect,0,Full time employee,Local government,2021,Microsoft SQL Server,No,1,Male,101000.0,90518.484
United States,9,"Microsoft Access, Unisys DMS II",7,Developer: App Code,0,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,103000.0,92648.32
South Africa,10,MySQL/MariaDB,6,Manager,6,Full time employee,Private business,2018,Microsoft SQL Server,Yes,0,Male,62400.0,57830.7
United States,5,Microsoft SQL Server,5,Analyst,4,Full time employee,Private business,2019,Microsoft SQL Server,No,0,Male,100000.0,86438.38
United Kingdom,22,"Microsoft SQL Server, MySQL/MariaDB",10,Architect,0,Full time employee,Private business,2020,Microsoft SQL Server,No,0,Male,152000.0,91038.92
Canada,14,"Microsoft SQL Server, Azure SQL DB (any flavor)",3,Architect,1,Full time employee,State/province government,2021,Microsoft SQL Server,No,1,Male,64863.84,93403.38
United States,25,"Microsoft SQL Server, Oracle, Microsoft Access, Azure SQL DB (any flavor)",15,DBA (Development Focus),1,Full time employee,Private business,2020,Microsoft SQL Server,No,0,Male,118000.0,119861.31
United States,8,"Microsoft SQL Server, Azure SQL DB, Amazon RDS (any flavor)",3,Manager,0,Full time employee,Private business,2017,Microsoft SQL Server,Yes,0,Not Asked,135000.0,127828.85
United States,15,"Microsoft Access, SAP",9,DBA,1,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,97000.0,103310.195
Russia,5,Microsoft SQL Server,5,Developer: T-SQL,4,Full time employee,Private business,2020,Oracle,No,2,Male,60000.0,39257.727
United States,21,"Microsoft SQL Server, Oracle, MySQL/MariaDB, DB2, Microsoft Access",21,Architect,2,Full time employee,Private business,2017,Microsoft SQL Server,Yes,0,Not Asked,145000.0,143251.64
United Kingdom,8,"Microsoft SQL Server, Azure SQL DB",2,Developer: BI,1,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,49000.0,63105.94
Canada,25,"Microsoft SQL Server, Microsoft Access",25,DBA (Development Focus),1,Full time employee,Private business,2018,Microsoft SQL Server,Yes,0,Male,109000.0,70380.36
United States,17,"Microsoft SQL Server, Azure SQL DB",2,DBA (General),0,Full time employee,Non-profit,2018,Microsoft SQL Server,No,0,Male,124000.0,111170.77
United States,20,"Microsoft SQL Server, Elasticsearch, Amazon RDS (any flavor)",2,DBA,6,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,148000.0,131400.67
United States,15,Azure SQL DB,15,Manager,2,Full time employee,Private business,2017,Microsoft SQL Server,Yes,0,Not Asked,105000.0,138831.95
Hong Kong,10,Amazon RDS (any flavor),3,DBA (General),1,Full time employee,Private business,2019,Microsoft SQL Server,Yes,0,Male,107000.0,38254.91
United States,1,"Microsoft SQL Server, Oracle, Elasticsearch, Amazon RDS (any flavor)",15,DBA (General),1,Full time employee,Private business,2019,PostgreSQL,No,6,Male,150000.0,128788.95
United States,8,Azure SQL DB (any flavor),8,DBA (General),3,Full time employee,Private business,2021,Microsoft SQL Server,No,2,Male,77309.0,99793.28
Israel,15,"MySQL/MariaDB, SAP",10,DBA,1,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,78000.0,79272.81
United States,2,"Oracle, Amazon RDS (any flavor)",2,Analyst,1,Full time employee,Private business,2020,Oracle,No,1,Male,72000.0,64459.605
United Kingdom,5,"Microsoft SQL Server, Microsoft Access",1,DBA,0,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,48119.0,53190.203
United States,3,"Oracle, Microsoft Access",6,Engineer,6,Full time employee,Private business,2021,Microsoft SQL Server,No,1,Male,108000.0,105693.94
United States,1,"MySQL/MariaDB, MongoDB, SQLite",1,Developer: BI,3,Full time employee,Private business,2020,Other,No,1,Male,75000.0,68766.15
United States,6,"Oracle, MySQL/MariaDB, Microsoft Access",21,DBA (General),0,Full time employee,Local government,2019,Microsoft SQL Server,No,2,Male,93500.0,85644.87
United States,14,"MySQL/MariaDB, DB2",1,Architect,0,Independent consultant,Private business,2017,Microsoft SQL Server,No,0,Not Asked,124800.0,131864.73
United States,8,Oracle,5,Developer: BI,1,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Female,104000.0,90766.35
United Kingdom,2,"MySQL/MariaDB, PostgreSQL, Microsoft Access",2,Analyst,1,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,29000.0,43770.883
United States,15,"Microsoft SQL Server, MySQL/MariaDB, PostgreSQL, Microsoft Access, Azure SQL DB (any flavor)",15,DBA (Production Focus),1,Full time employee,Private business,2021,Microsoft SQL Server,No,0,Male,130000.0,121248.39
United States,15,SAP,15,Developer: T-SQL,6,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,125000.0,113305.24
United States,3,"MySQL/MariaDB, Microsoft Access",1,Analyst,2,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,45000.0,68343.68
Australia,14,SQLite,14,Other,3,Full time employee,Private business,2020,Microsoft SQL Server,No,1,Male,62000.0,57676.457
United States,2,"Microsoft SQL Server, Microsoft Access",7,Engineer,1,Full time employee,Private business,2021,DB2,No,2,Male,69000.0,117999.86
Germany,6,"Microsoft SQL Server, Oracle, MySQL/MariaDB, Microsoft Access, Azure SQL DB (any flavor), Snowflake",1,Other,6,Consulting Full time employee,Private business,2021,Microsoft SQL Server,No,1,Male,75000.0,66839.26
United States,6,MySQL/MariaDB,6,DBA (Production Focus),4,Full time employee,Non-profit,2018,Microsoft SQL Server,No,0,Prefer not to say,80000.0,86025.26
United States,26,"Microsoft SQL Server, Oracle, MySQL/MariaDB, PostgreSQL, Azure SQL DB (any flavor), Amazon RDS (any flavor)",15,DBA (General),3,Independent consultant,Private business,2020,Microsoft SQL Server,No,6,Male,145000.0,141528.62
United States,18,MySQL/MariaDB,18,Architect,0,Full time employee,Private business,2019,Microsoft SQL Server,No,1,Male,153027.0,133978.34
United States,15,Azure SQL DB,15,DBA (Development Focus),0,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,123000.0,113450.62
United States,7,"Microsoft SQL Server, Oracle, MySQL/MariaDB, PostgreSQL, Cassandra, SQLite, Azure SQL DB",1,DBA,3,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,100000.0,104873.445
United States,12,"Oracle, MongoDB",2,Architect,3,Consulting Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,128000.0,110762.18
United States,4,"Azure SQL DB, Amazon RDS (any flavor)",4,DBA (General),3,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Prefer not to say,60000.0,87997.875
United States,16,"Microsoft SQL Server, SAP",2,Developer: T-SQL,3,Independent consultant,Private business,2019,Microsoft SQL Server,No,2,Male,96000.0,122746.89
United States,12,"Microsoft SQL Server, Oracle, MySQL/MariaDB, Microsoft Access, SQLite",3,Developer: App Code,4,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,84000.0,102201.28
United States,1,Microsoft SQL Server,1,DBA (General),2,Full time employee,Private business,2021,Microsoft SQL Server,No,1,Male,54000.0,62513.996
Australia,10,"Microsoft SQL Server, MySQL/MariaDB, PostgreSQL, Microsoft Access",10,DBA (General),1,Full time employee,Non-profit,2019,Microsoft SQL Server,No,1,Male,79000.0,76374.664
United Kingdom,19,"Microsoft Access, Azure SQL DB",19,Analyst,1,Full time employee,Private business,2019,Microsoft SQL Server,No,6,Female,54772.0,85926.26
South Africa,14,Microsoft SQL Server,7,Developer: T-SQL,1,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,60000.0,48348.133
Romania,2,"Microsoft SQL Server, Oracle",2,DBA (Production Focus),2,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,21500.0,28924.496
India,3,"Microsoft SQL Server, MySQL/MariaDB, PostgreSQL, MongoDB, Cassandra, Azure SQL DB, Amazon RDS (any flavor)",3,DBA (Production Focus),3,Full time employee,Private business,2018,Microsoft SQL Server,Yes,0,Male,5213.999999999985,9365.0625
Canada,3,"Microsoft SQL Server, MySQL/MariaDB, PostgreSQL, SQLite",3,Architect,2,Full time employee,Private business,2020,Microsoft SQL Server,No,2,Male,51000.0,58013.438
United States,15,"Oracle, MySQL/MariaDB, DB2, Microsoft Access, SAP",15,DBA,0,Full time employee,Federal government,2017,Microsoft SQL Server,No,0,Not Asked,95000.0,105259.016
United States,6,"DB2, Amazon RDS (any flavor)",6,Engineer,4,Full time employee,Private business,2020,Microsoft SQL Server,No,2,Male,92000.0,96049.76
United Kingdom,3,"MySQL/MariaDB, PostgreSQL, DB2",1,DBA (Production Focus),2,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Female,61386.0,54718.703
United States,15,"MySQL/MariaDB, Elasticsearch",1,DBA (General),0,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,115000.0,106079.81
United States,2,DB2,2,Analyst,0,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,40000.0,69753.17
United States,2,"Microsoft SQL Server, MySQL/MariaDB, PostgreSQL, Microsoft Access",2,DBA,0,Full time employee,State/province government,2017,Microsoft SQL Server,No,0,Not Asked,63000.0,58692.21
United States,3,"Microsoft Access, Azure SQL DB, Amazon RDS (any flavor)",3,DBA (Production Focus),2,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,68000.0,79567.17
Romania,6,"Microsoft SQL Server, MySQL/MariaDB, Microsoft Access, Teradata",6,Developer: T-SQL,6,Full time employee,Private business,2019,Microsoft SQL Server,No,2,Male,30000.0,35935.258
United States,10,Microsoft Access,2,DBA (General),1,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,67000.0,98608.484
United States,5,Microsoft SQL Server,5,Developer: T-SQL,0,Full time employee,Private business,2019,Microsoft SQL Server,No,0,Male,105000.0,89391.54
United States,7,Microsoft SQL Server,7,DBA (Production Focus),2,Full time employee,State/province government,2021,Microsoft SQL Server,No,1,Female,100000.0,85331.23
United Kingdom,12,"Azure SQL DB, Amazon RDS (any flavor)",1,DBA,5,Independent consultant,Private business,2017,Microsoft SQL Server,No,0,Not Asked,98517.0,114247.266
United States,19,"Microsoft SQL Server, MySQL/MariaDB, DB2, Microsoft Access, Azure SQL DB (any flavor), CosmosDB",8,Architect,6,Consulting Full time employee,Private business,2020,Microsoft SQL Server,No,2,Male,145000.0,162663.19
Greece,23,"Microsoft SQL Server, Oracle, MongoDB, Azure SQL DB",30,Architect,1,Consulting Full time employee,Private business,2019,Microsoft SQL Server,No,6,Male,50000.0,76539.44
Canada,5,"Microsoft SQL Server, MySQL/MariaDB, Microsoft Access",5,Manager,0,Full time employee,Private business,2021,Microsoft SQL Server,Yes,1,Male,70000.0,57119.14
